onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	010111001001100111010001111110000101100011100011110101001110000110100110000000101111000011101011011101101110011010000100011010010100111101001001
34	6	rest	null
40	6	stimulus_random	110011101111000111110001010111010100101001011100000001000001010100110111101111010011111111111010100010100001001010001110110100010011001011000101
46	6	rest	null
52	6	stimulus_random	001100000000000110100001010000111010011000011000010011110011100000000010101001111010111101111000100000011001000110000101010010011010010001010001
58	6	rest	null
64	6	stimulus_random	100001001011011011110001010001010010011011110011001101010101100001110111010111100101101001110111010101101110111011110001001011100100010100111100
70	6	rest	null
76	6	stimulus_random	101010100001111110101111001110000010011001000100000101001000001110011010011011010011010100011100101001100011010000001010100000010011000001111100
82	6	rest	null
88	6	stimulus_random	100000010101010101111010001100110000010010101011110110011101110011010111111111101010000101111111110010110100010101100101001011101111001100111111
94	6	rest	null
100	6	stimulus_random	011100111001101100001110010011111010100100110000111001101011101011000100010111100100111010111101001010110101011110010110110111001110001110110100
106	6	rest	null
112	6	stimulus_random	100110110101010100001001000001100110011101111000101000110100011110101010001100010010100011000111110101001000001111101010100111010011111010110010
118	6	rest	null
124	6	stimulus_random	011111011011001111001000010011010111110001001001111001111101000100101111000001111110000001110011000110110000000001101110001111101111010111111101
130	6	rest	null
136	6	stimulus_random	100100000111101110011101100111111100010111011101110000010010110111010001110100101110001011100101011110000000011110100001001001000000000101011011
142	6	rest	null
148	6	stimulus_random	001101010110000001110010010111000001110001100101001001110011000111001111101001001101010101100011110110011110001100101010010011101000110001010000
154	6	rest	null
160	6	stimulus_random	000101000101110010100000000000101010001100001000100101110010010011001101101011000001011100010110001010100011100111001010000000001110101110010100
166	6	rest	null
172	6	stimulus_random	000101001100011000011111011110111100100111110011101010001010000111101011110010101010100011100001010010011001000111111110111000000000001111000101
178	6	rest	null
184	6	stimulus_random	010000101000000000101010010001110101010001001111001111001010010100011011110011011000000101011001011100110100010000100101111000100101100101100000
190	6	rest	null
196	6	stimulus_random	100101000101001010010100011011010000010101100011110011000111101101001001011000011111000111111000000111011100100011101111100110100111111011011000
202	6	rest	null
208	6	stimulus_random	111011111101001011010101010101000000001110110101010000110010101011110011011111100101000100010011000011101111000101011011001101111010100101100011
214	6	rest	null
220	6	stimulus_random	000010111110011011001011000000100100101110111100011010011000101100001110000100011111010010000110000011101110010100100001001000111000011000011110
226	6	rest	null
232	6	stimulus_random	000110100110010100000011010010110111101110111101100111011010110100011011100111010100111101101101000100110111111011001110101001110111100011101010
238	6	rest	null
244	6	stimulus_random	101000110100001111001001101100010010010100000011000111101111011110100111001101100010010101001110010100111010100000100101000111100101011010011110
250	6	rest	null
256	6	stimulus_random	010111010010001111100100001101100011011111111100010011000011101011101100110101101110100000100110010010010111010110010010010111001010000100011100
262	6	rest	null
268	6	stimulus_random	110110011011110000000000001000011000110110100011010000100100111011101100111000000001111100101100010111111001111000010100101010001011110111101011
274	6	rest	null
280	6	stimulus_random	001100000100001111101110110110100111010111110000100000011001100100010101000100100111001001100010111001011011101001000101011011101000010001110000
286	12	rest	null
