onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	000100000100011100011010001101001011010001011110101001011001111100101100111010111110111011100101011101000001100100011111000011000010101111010100
34	6	rest	null
40	6	stimulus_random	111100101001001011010100111101100011111010110100100111111110110001111001101011001110111111101100000111101000000001001011011000101101110000000001
46	6	rest	null
52	6	stimulus_random	110010000011110111001110010111010110000101100010011101000111001000011011001110101001111000011101111000010001100110010101110111110001011110100110
58	6	rest	null
64	6	stimulus_random	001111000000000011001111111110000110011111010010111110111111101001000100110011100000101110010100000110001000001000110111001000001111111001101111
70	6	rest	null
76	6	stimulus_random	101011101001000111111100100101011100111000110000101100001101101011111101000010100110011110111000110010100001110110000111100100100110000011100100
82	6	rest	null
88	6	stimulus_random	111100111100110001000100111011110100101100100100011111010011000011100101000010011010111001110100110000110111110101010010101111011001010101100010
94	6	rest	null
100	6	stimulus_random	011010011011110001010111010010011000100000101011110000010101111000100100101101110001101011111011100000001010010011000101101001111010101111011010
106	6	rest	null
112	6	stimulus_random	001100101110001011001110100001111010000011011110111011101001101010011101101010110011010011110111110110101101000111111000010001000100111011000101
118	6	rest	null
124	6	stimulus_random	101011011000110001001001000010011110001111000101000010001111110100000111000111111100111111000001011111001100010111101111110000110110000111101110
130	6	rest	null
136	6	stimulus_random	100011010111100010000010100000100101100111100110011000001000000011011110001100001110101101101110011101101010110011010011111100100100111111101011
142	6	rest	null
148	6	stimulus_random	000100010111011001110111000100000110011010101001100111010111110000011100110011111100010010110000000000111011110010010000111010111011101100001111
154	6	rest	null
160	6	stimulus_random	100001101110100110000101011001000100101001000100001001111101100101110010000101001100110110110000010010011000111000001011101001110000111011000011
166	6	rest	null
172	6	stimulus_random	001010110000100011110110111101001100100001110010111010011010001000000010010111110100001111100000000001100001000001101001010101101111111110001011
178	6	rest	null
184	6	stimulus_random	111010100001111011111111110111000010100011100010001001101001001100110000000000000001100010100100000000000111001011110111101011001101011110100000
190	6	rest	null
196	6	stimulus_random	000111111101110111001110010101111111110111010010010000001111110101101010110010011110000101110011111011001111111000011110000110101111000101011111
202	6	rest	null
208	6	stimulus_random	000111000101111111101010100011100001000100001100111001100100000110011111110111011110001000100000110101011101000111000000011111001100000101111110
214	6	rest	null
220	6	stimulus_random	100111110000010001011010110110001111010010010101101000100110101111000010011001100011011000110010110111111010010011000110110000011111110001000010
226	6	rest	null
232	6	stimulus_random	101010000110001000000011101111100000001101000010111010010001000001010110100110000100110001110101100111110000110010110111111100110001110000000000
238	6	rest	null
244	6	stimulus_random	101110101111010100100111110001000111100001000011000010111110111101001101111010100100010010011100111110010111110010011010110101010011010101001110
250	6	rest	null
256	6	stimulus_random	010100001101110100000001101110101111010011000011010100001001001111111011000011111011100100111001110100101101010010100101010001111101000001010001
262	6	rest	null
268	6	stimulus_random	101110001001100101000100011001000110111100101010001111111010101011101011011011011110111011001110110111011110000010111111000010100101101101110001
274	6	rest	null
280	6	stimulus_random	110110111001110000110111111101110110100100110011101001000101000100111001000111011001001101000010100001000010010101100101010001010101000010111101
286	12	rest	null
