onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	000101001000111000000110011111000011110010010100011001111011010000110010100101000111010000100110010010110000111010110111100010100001000100001001
34	6	rest	null
40	6	stimulus_random	110001001000011110001100111101011001010110000101110111010011000010111100111111001011111011101100111111011101101011101100110010010100100110011111
46	6	rest	null
52	6	stimulus_random	001110001110001100011100110011000110100110110011010011010110110000110010110101010011100010101011100100100010101100111011111110101100101111111111
58	6	rest	null
64	6	stimulus_random	010011001100000011111001000001111110110000001011101110011110011010011011010110011101100111010111110000011110000100110110110110000010011101111000
70	6	rest	null
76	6	stimulus_random	011101010110001100100001100100011101000000001101010010000100000100110000110011010100101010000110000011101010010001110100110110110101001001100101
82	6	rest	null
88	6	stimulus_random	110010010111100110010000111010001001111000100001110101111010101111100010111101101110001110001001110100110010011110100011000000100111010000111100
94	6	rest	null
100	6	stimulus_random	010100111100100000100101111101101110110111001111010001000101011111000010001110011101110110100110000101101110100111110110011110110111011110101100
106	6	rest	null
112	6	stimulus_random	010110111011001100000000010101100101111100100110110111011101110010101010001111001101111110101110011111010000010011011101111000001001010000100010
118	6	rest	null
124	6	stimulus_random	100011111010010000000100100110000100001011011111001111010000011111100001011101101110000100110011101001111101101000010110000111010101001100100010
130	6	rest	null
136	6	stimulus_random	111111110010111110111111010101010110110010110110101100001001001000100011010101110011011110100100010111001000100011110110010101001101000001100001
142	6	rest	null
148	6	stimulus_random	111011011010011001011101001000101100100011101110000011111111011000101011001011001011010110100111010100010001111001010000101001011000010111101001
154	6	rest	null
160	6	stimulus_random	111101011011110101110001100100111000101011110100101100000111011001101010000000101101010111011000000101111100101110010101101110011101101101100110
166	6	rest	null
172	6	stimulus_random	111000111111010011111100101101000111110000001010000111101110011010101011011001011010101011110111111010011110111110011010100100000011100011000001
178	6	rest	null
184	6	stimulus_random	101000011011101110101111111110101010000001100000110011110010011011101101111100010000111100000111001101100010100111001010101101101110111100010101
190	6	rest	null
196	6	stimulus_random	011010111110011011011111100001010010010010010011011101010101100000100101111010100111000000011000011100100001110001001101010000001110100000001110
202	6	rest	null
208	6	stimulus_random	011100001000010101111101100010011011110100100011110111110000110100111000100100010111110101010011111100000000011011010101011001110111101000100101
214	6	rest	null
220	6	stimulus_random	011000101111011110010111011110001100001101101000001001110111110010111011011010101000101010100000000111011100010001000001010010110100111001101010
226	6	rest	null
232	6	stimulus_random	000111111110010001110101000011000010011011011000100101110101101000011001101111100001110001101101100011010111110000001100010011100100110100111111
238	6	rest	null
244	6	stimulus_random	000110111000011010110110100011011100101110111100101001101011111110100101011110111001100110100101001110110111111010110011111110110101101111000011
250	6	rest	null
256	6	stimulus_random	001111100001101100010110110001111100010111101011001111001000001001010001100101010010110000100011010111101110111110000111111110101011010001011111
262	6	rest	null
268	6	stimulus_random	111001111010000111101011110011100001010011110000111111011100011110011111000000001100000011111110011000001010100000101000100101110000101011100101
274	6	rest	null
280	6	stimulus_random	110101011011000111101100011111011001111001011110111000001110101101111100100100001001001110110011111110100100100001110010011100000101001101110100
286	12	rest	null
