onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	101010101101101010000101101110001110111010110101100000011011111111110101001011010100001001001111101001011111100111000110001001001101010110101100
34	6	rest	null
40	6	stimulus_random	111100110100110011010101110110110011111010111000001000001000101010111111110111001001100100100111100001010101111101101010010000001001011100001111
46	6	rest	null
52	6	stimulus_random	100001110000000101110000101110111001110100001011000000110111000010010100100111101100100011001111011001000101000110110100100100111111100001011001
58	6	rest	null
64	6	stimulus_random	010111010111100110011100010111111101010010100110101111110110010001011000011100100101101000111000010100110010100011010101101110000010011001011001
70	6	rest	null
76	6	stimulus_random	000110110101001110010111110010101101011011110100110110101001001100110110001111010011000011001100011001110101101111000000101110101111010010000101
82	6	rest	null
88	6	stimulus_random	010011000110001111110111111101000000100100011110101010010000000100101100111001101001110010000000010111001110100001000111000100000100000100011010
94	6	rest	null
100	6	stimulus_random	011000100010101001001010011100000000010010001110001101110001001001110000101100110011110110110110100110100010001111100011000000010001110101010110
106	6	rest	null
112	6	stimulus_random	100001110001110010001100010010011011110111110010011001001010001000010011110110100110100101101111101110100110000010110100011101100110110010001010
118	6	rest	null
124	6	stimulus_random	101010001011011111100111001001010101001111100111100000010100111100100101001101011101110011110001110100100100101100111110100000000110010010001110
130	6	rest	null
136	6	stimulus_random	000001110000100101101000111001000110001110100001100011101011110011101111100010001001111000001010000001111101000010000110110110001000101001100001
142	6	rest	null
148	6	stimulus_random	010100010111011110000110010100001010011111001101011001100010101110001100110111011011110011111000010110111001101111111011010001011111010010011111
154	6	rest	null
160	6	stimulus_random	011100011001101110100010110100100010010011010100000101111001000000100000000111001010010100000011000111011100100101011110110000011100100100100010
166	6	rest	null
172	6	stimulus_random	101110000111100111011100111100111010100001011101110111110010100010101111101100000001101010101101101011111011101010011010010110011001011111111101
178	6	rest	null
184	6	stimulus_random	101100010011110000001101010111011000000010110001001010101010100110100110110011001000110001100111011111110011001100010001001011010101001100010010
190	6	rest	null
196	6	stimulus_random	100001000101110000111001100110001110110010010011000011000000101011111000101101010101100101101010111011101100001101001001100101111010110001101001
202	6	rest	null
208	6	stimulus_random	100100110010111000100111101000100010110110110110000000001001001010000011010100010100001000110000000111111001001000110001000010000001111100000000
214	6	rest	null
220	6	stimulus_random	100011100100100010010110111011110001001001111111101100110001111011001011001110000011011011111011001101101010001100100110110110101010111101110000
226	6	rest	null
232	6	stimulus_random	001111011011101110110001110010010010110000000010000101010100000100100110101111110101101101110010101011010100101111001101000010110011011111110000
238	6	rest	null
244	6	stimulus_random	011000111100011000101000110001000110000001101000011100111111110011100111010011010001001110101101101001101111110110001001001110111011101110011111
250	6	rest	null
256	6	stimulus_random	001100000101100111111010010010001000110000010000101011011100010010001001010110111110001111000101000001001001111010111010110101010001111110100110
262	6	rest	null
268	6	stimulus_random	101010100101010001001001110101101010101000011000011000100010011100110100100110010011000100001010010111101110100010000100111100110110001101110001
274	6	rest	null
280	6	stimulus_random	010100001110101100010001011001000010011010111010000110100001011100001001110010001010001000011100000010101110010101011011010000110001001000111011
286	12	rest	null
