onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001000011111111010110010001101000010110101101010001001100001001011001010111011010010111011010000001010101100101001010010100111001101111101010001
34	6	rest	null
40	6	stimulus_random	010010100111111001101100000010010110101110011110010101101110010100001001100000000010011001001111011010011010101110100001010001011110111100110100
46	6	rest	null
52	6	stimulus_random	000011101011001000100100100101111011100101100001110100111000110110101111111010111111100100010010100000001101111011011101111000000110100010110110
58	6	rest	null
64	6	stimulus_random	110000010100010101010100101000000100010101000001110000100110000010111001000110111000011101001101110100011100001010001111011000100010110001101111
70	6	rest	null
76	6	stimulus_random	101101101000111100000110100111100110001100100010111000100100001001110010000110011110001101101110111110000100001110011111000010100001011111111101
82	6	rest	null
88	6	stimulus_random	100100011101001011010111000100101110110111100011101111001110101000011011010101001101110001000101000001101011101111011111000010110111010010010100
94	6	rest	null
100	6	stimulus_random	101001001011100111100110110011110111010101111010110011100100000100000101101001000010110110100101111011000110100110100011100001001000001110110010
106	6	rest	null
112	6	stimulus_random	000110110000010111110000011101101101000011111101111111000101100010000011111100110110001111101101001001001000111010000110100010110001100011001010
118	6	rest	null
124	6	stimulus_random	101010111000100111001100101001000101000110100110100110101000001100111000011001110111011001000000101101111001000101110111000110110011110111011000
130	6	rest	null
136	6	stimulus_random	011000101101100100100101110100001010011100010111101011001101011100110111110111001000010001000100111111001010010100001001100011101001111111101110
142	6	rest	null
148	6	stimulus_random	000100000001000101011000110101001001000001000101110101000001001011100110001001111100000001010111001010011001000110111111001011010001101110000100
154	6	rest	null
160	6	stimulus_random	000000110100111100100111011010000001111000011000100110010100010111011100101010000110110011111000100001011011001011010111100001000101101000001011
166	6	rest	null
172	6	stimulus_random	001110110011001111010000000111011001100001001010111101011101101001011011000101111110001011000110001110010110010101001000101010100010111110100010
178	6	rest	null
184	6	stimulus_random	111011011010111101010100111001010101100101111110011011100100011111100010101100000001011111011100100111011000110101101101111001010111001001111100
190	6	rest	null
196	6	stimulus_random	011010110001101000001011100101001111110111101011100010110010010110111100000111100101000100111110010011011001111100000001000011111111101001000101
202	6	rest	null
208	6	stimulus_random	100110011000000101101110100000111111110011011101000111011111000010011001100001100011110110011111001101011011100110001100011001100110000001001000
214	6	rest	null
220	6	stimulus_random	101011100100011111101111101101011000010101110101110100000010100100100011010101101101111110000000101001011010111101000100101011000000000000101000
226	6	rest	null
232	6	stimulus_random	001011100011100000101000010001000010111010001001100111100010001101100111100101100011100000010111011110000111110000110101110101100010001010011010
238	6	rest	null
244	6	stimulus_random	001010010011011010100101001110010010001001010001100010000100100000101011101110100111011000111111110101111010110011010101101011011000001111001001
250	6	rest	null
256	6	stimulus_random	001100111111100000000101010110000001111110010010111001111101111110111011000010110101110000001100100100001011001011010001000101001111011000110001
262	6	rest	null
268	6	stimulus_random	110100100110010011001000000011000111101100110011000100000010000111010011001100011100001111110100010101010000011111011010001000000010011101110011
274	6	rest	null
280	6	stimulus_random	001011001110101001001001000001100110010011111110011101000110100010010001101001100100101111000110001001001100010010110110101110110110110001010101
286	12	rest	null
