onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	111010011000000111110011100001100001000111111000000010111101110110001011110011101110001111110111011100110010110100101000011010101100010111011010
34	6	rest	null
40	6	stimulus_random	011011000101000011001000101111010110001011110010011101011111010101110100001011010110010001010111000010010110010001001100000000011111010010100100
46	6	rest	null
52	6	stimulus_random	001010100100100000101111100110101010110001101110001111111111110110010000100111010111001111010111101010010100111110110011110010011010110111010011
58	6	rest	null
64	6	stimulus_random	111001011111110111010111010110111010111100010101100100011001001111111011111001010001000101001010010001100011111000101011000010100110011100111001
70	6	rest	null
76	6	stimulus_random	010001011101100111110100101110001110011000100011100110100101110110111101100100010000011010010001010101100010001011101110101111001111001100101100
82	6	rest	null
88	6	stimulus_random	001111111111101011100011000100111111000010110111001011001111011010011011000010001100001110001101100000010011001010001011011111110101011100101100
94	6	rest	null
100	6	stimulus_random	000101001100110101011110011010010000000101001011010000111010111001001100100011010101001001110010000001101010001111101100000011111001010100111001
106	6	rest	null
112	6	stimulus_random	001101011110000100001101010010110110100111010011111011000101011011101000000010010111110111110100100100000111010010100110100001011100010111010011
118	6	rest	null
124	6	stimulus_random	000110101111001001001110001101100011101000101011000101100110010100010110111001001110110110010100011100111111110010101110111000101000110010111101
130	6	rest	null
136	6	stimulus_random	000000000111101011010000010011000011010101000111111100010000111110101100101100001111100001101100000111011000010100101101011010010011100011010000
142	6	rest	null
148	6	stimulus_random	010110011011101011001101100100011110111010011101111101010011101100101100111001000110011110011001100101011101010100000101111001000110000111001111
154	6	rest	null
160	6	stimulus_random	000110011111110000101000011011100110100001010010010111100100110111111110001100100010011110001110000101000001101111001010111010000111011100100100
166	6	rest	null
172	6	stimulus_random	010000110000011110110010010001000011111101011100100110011110101111101010101001011100111100010001001011000111101010111010010011110101101100111110
178	6	rest	null
184	6	stimulus_random	110010011011110110000111000111000100110100010101001001101010011001001011000001000110011000101001100110110111101001111011011000100100101000110111
190	6	rest	null
196	6	stimulus_random	011001010001000110011101110010101011100111100000010001100111111010111110000100011011010111010000010011010110010011001110001100000101100111111000
202	6	rest	null
208	6	stimulus_random	111001110001110011101101001101111110010011001110111100111111011010000110000010110111000100100101010111011001000011100000111111110011100100100001
214	6	rest	null
220	6	stimulus_random	111111010101001100111001101101111011000010111010001101101111000010001011100110000001100011001101100100001000000110011110100100100001011010110110
226	6	rest	null
232	6	stimulus_random	110000000100111111101001001100011001101011011011010110001100001110111101101001101111001110011011000110000110110000100000100100111111001101010100
238	6	rest	null
244	6	stimulus_random	011010000010001010011101001001110000010100010101111101011100010101110000001100110011110000101101111111111001100110010101111000000001100000011000
250	6	rest	null
256	6	stimulus_random	011010100111010011111111001010011111011001010001111010111111001011010000111001100000010011100111011011110110001011001001001011001000001001100100
262	6	rest	null
268	6	stimulus_random	001011011111000011001100111001011001000100100000001000001010111101011110100001101000101111100111011110100011010010011001001011010101011110100010
274	6	rest	null
280	6	stimulus_random	110111111101100001111001000010000111000100000001111110001101011101010010010001001100111001001100101010001011001000011110001100111011000100010110
286	12	rest	null
