onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001100100110001011101001111001000001011110110110011101011011101111100110000000011000001000111100100101001101111011101111000010101000011001110110
34	6	rest	null
40	6	stimulus_random	101011111001101011110100011011000101110000001001101110111001011000100001110001011110111110001010111001000111111111010111110011111100101101011000
46	6	rest	null
52	6	stimulus_random	001111011100100110001110011101100100011000111100110011001000001110100001010110100001000001100110101011110101011101111110111101001011010100011100
58	6	rest	null
64	6	stimulus_random	010001110101111010101001110011001100000001100010000011011001011010000110100000000101001100111101100101101010011001011001001110010011110011000011
70	6	rest	null
76	6	stimulus_random	001101101000110010100011000000100000000110010010001000100111000100110110110000100110100011110010111010111010101101110100011010011011000010000111
82	6	rest	null
88	6	stimulus_random	110001000000100110110110010111001110111011101100110011010011010001010110100011011011011001010111001001001001111111010011001111111001011111001100
94	6	rest	null
100	6	stimulus_random	010011100010101010011011110000000000100000110011111101101100100110101000011111000111001101000010010000000101110110100001010100010000011001010100
106	6	rest	null
112	6	stimulus_random	001011011101111010110001011101110001001110101001011010110001111100010011000110010101101110100110100001100101101101100101110011110110101010100001
118	6	rest	null
124	6	stimulus_random	001111110010011100001100011011010010000010100100000110001000101011111101100011101110111000111100111010110011001111110000111000010010001011001100
130	6	rest	null
136	6	stimulus_random	010000101100101111101110001011010010111110001001111010000110000000100101000001101110011001111001010010010101100111111000011111001001010100101001
142	6	rest	null
148	6	stimulus_random	110100101010101011010001111011010010000101000111010011000101000101101110101110100001001000100000011101001101010100101000010011111000111010110000
154	6	rest	null
160	6	stimulus_random	001101011001111110010110110111001101000011000011011110110111101011010010100100101100101110110010111001011010001000000010100010100010111010000100
166	6	rest	null
172	6	stimulus_random	010000101000100010111111100001101000100111111000011111010010011100100111000001101000011001111101011000100111100111100110000011001100010001110010
178	6	rest	null
184	6	stimulus_random	010001111111000000001001101101000011000000110101110100011111110011110001001000010111111000110010101000110110000100001000000001010111000110110110
190	6	rest	null
196	6	stimulus_random	011111110011101001011111000100000011111000010000111010010110011011101100000010100001001100010100011001110010011110111011001001101111000001110000
202	6	rest	null
208	6	stimulus_random	100011001110101110011110110101111010001101110001101100111110000101001100011111010101100010110000100001000101101111001100000110100011001110000001
214	6	rest	null
220	6	stimulus_random	100111001101001100101101111100001001101100100111001101000101100011110010110000100000100010101100001010011001000101110111110101101010010111101001
226	6	rest	null
232	6	stimulus_random	011111111111101110000110100111101100110011111111101100011011011000100010001100111010010011001101101100001101010110010011100001000010011111001111
238	6	rest	null
244	6	stimulus_random	001100100100111100110000111011110100010010100011110001111000001010000110101101101010111000101100011110110001011101111100100011111110101011010111
250	6	rest	null
256	6	stimulus_random	110010010000100111010000000111001011001100010111110000001111000001110101011010010011011100101001110101101110110101001010110110000101010100101110
262	6	rest	null
268	6	stimulus_random	111101101001110111000010110001010101111000100000001010111101111001110000110001011110010001011101000101001001100000000010101001010101110100011011
274	6	rest	null
280	6	stimulus_random	010100001011011000011101110111111011011001101101111110111111010010001011100100011111101110000111111010010011010011100111100000111111101110101101
286	12	rest	null
