onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001000010100101001011101000101110101000111111001001000011001000110010010001011100100111000000110010000010011010001110100101110110110001101110000
34	6	rest	null
40	6	stimulus_random	101110011001101010011100000001101001011000100011101000110010001100001000110110011010000101101100110000010100110110001101100011000100111100001111
46	6	rest	null
52	6	stimulus_random	011101001111100100110001100110001010100110100011000100011010001011001001010110111111110100001010110101110001011100001111001101000100001110110101
58	6	rest	null
64	6	stimulus_random	010101001000000011000001011100001101101110011111001000010011001111001111100000101110111111111111010011011010011110010010111000110111000111001000
70	6	rest	null
76	6	stimulus_random	100101110111000000111100100100111101011010001110101111101100010110101000110101101001101011101111000011101101100100001001110100000011100011111101
82	6	rest	null
88	6	stimulus_random	101111111001010001110010111011111010100110000110111011011111101100000010111101100101100001000101001100100011110010110110100010010110000111010111
94	6	rest	null
100	6	stimulus_random	110101101111001000101110100000111000010110101010000000101000000001000010111000000101110110010000111001111110011001111000101111100100111100000000
106	6	rest	null
112	6	stimulus_random	001111000010011000010111100001011111111111100001100011011101001110010110110110001100011101110100101110111100110101010010001011011100011001000000
118	6	rest	null
124	6	stimulus_random	110101110011010111110001001111111011011111100101101111100011001101100011110010111101100100110110111000110011011001110111100100101001011101110110
130	6	rest	null
136	6	stimulus_random	110001011011110110011110110001000011001101011101001011000001101000011000110100001101010111110001010111011100101000000111001111001100011111010000
142	6	rest	null
148	6	stimulus_random	110011110110011101100011111011010000110100011001101000001001001100001110101110011111011100100100011111111110100111000101000111110001001011111110
154	6	rest	null
160	6	stimulus_random	011011011111000011000100001110011000101000101001011011011110100001011000111100001100011000111111110100001101110001100011100110001101011110110110
166	6	rest	null
172	6	stimulus_random	100110111111000011011010001011001111000000010010010010111110010011101100110011010111110100000010100000000110111001000101101000000100010001001011
178	6	rest	null
184	6	stimulus_random	010001101001011011000011100110101001101111101111111100111111101100000100101101101101100011011101000101011001110111000010100111111111101000111010
190	6	rest	null
196	6	stimulus_random	110110011110010101000000011100000101001000011100110001111011010001110110101001011111101010010011010101010100110001100001101101101111100010010111
202	6	rest	null
208	6	stimulus_random	110000001111000101010110010100010111010110010000111000011011110000100101111111000110000011110100011110101010000001010010000001001101001110001111
214	6	rest	null
220	6	stimulus_random	100101001111001000101111011101111010010110011010110000111100000010011011001010111011010111010001000101101001111010011000100101000011101101010010
226	6	rest	null
232	6	stimulus_random	000000011110101010010010110001100010001011001010011101100010001000111000100010010001000100100110000101100010000001111100110001011000011000111110
238	6	rest	null
244	6	stimulus_random	110010100101000001111101010001111000101001011100101001100111100101001101011000000110111011001011100000010101001000010001110100001011100100010110
250	6	rest	null
256	6	stimulus_random	110101100110011011101011000000011001100100101100110101011110110111001000000011000101001001100010110000100100111010101011101010011111101001111000
262	6	rest	null
268	6	stimulus_random	111101110001010101110000001010111101110101001110110101010100101001111000100100110111111000111110101111101011011110010001111011101100111000001001
274	6	rest	null
280	6	stimulus_random	101010010010100000100101100100010101011001000101001110110111111110001100000011101110110000011000010000010110100101011110100110001011111010110010
286	12	rest	null
